연도,작목군,작목명,지역,면적,생산량
2022,특약용작물,강활,충북,0.0,0.0
2022,특약용작물,강활,전국,40.0,129.0
2023,특약용작물,강활,강원,5.0,16.0
2023,특약용작물,강활,경기,0.0,0.0
2023,특약용작물,강활,경남,0.0,0.0
2023,특약용작물,강활,경북,34.0,109.0
2023,특약용작물,강활,광주,0.0,0.0
2023,특약용작물,강활,대구,0.0,0.0
2023,특약용작물,강활,대전,0.0,0.0
2023,특약용작물,강활,부산,0.0,0.0
2023,특약용작물,강활,서울,0.0,0.0
2023,특약용작물,강활,세종,0.0,0.0
2023,특약용작물,강활,울산,0.0,0.0
2023,특약용작물,강활,인천,0.0,0.0
2023,특약용작물,강활,전남,0.0,0.0
2023,특약용작물,강활,전북,0.0,0.0
2023,특약용작물,강활,제주,0.0,0.0
2023,특약용작물,강활,충남,0.0,0.0
2023,특약용작물,강활,충북,0.0,0.0
2023,특약용작물,강활,전국,39.0,125.0
2024,특약용작물,강활,강원,5.0,15.0
2024,특약용작물,강활,경기,0.0,0.0
2024,특약용작물,강활,경남,0.0,0.0
2024,특약용작물,강활,경북,33.0,102.0
2024,특약용작물,강활,광주,0.0,0.0
2024,특약용작물,강활,대구,0.0,0.0
2024,특약용작물,강활,대전,0.0,0.0
2024,특약용작물,강활,부산,0.0,0.0
2024,특약용작물,강활,서울,0.0,0.0
2024,특약용작물,강활,세종,0.0,0.0
2024,특약용작물,강활,울산,0.0,0.0
2024,특약용작물,강활,인천,0.0,0.0
2024,특약용작물,강활,전국,38.0,117.0
2024,특약용작물,강활,전남,0.0,0.0
2024,특약용작물,강활,전북,0.0,0.0
2024,특약용작물,강활,제주,0.0,0.0
2024,특약용작물,강활,충남,0.0,0.0
2024,특약용작물,강활,충북,0.0,0.0
2020,특약용작물,강황(울금),강원,0.0,0.0
2020,특약용작물,강황(울금),경기,1.0,2.0
2020,특약용작물,강황(울금),경남,1.0,9.0
2020,특약용작물,강황(울금),경북,0.0,0.0
2020,특약용작물,강황(울금),광주,0.0,0.0
2020,특약용작물,강황(울금),대구,0.0,0.0
2020,특약용작물,강황(울금),대전,0.0,0.0
2020,특약용작물,강황(울금),부산,0.0,2.0
2020,특약용작물,강황(울금),서울,0.0,0.0
2020,특약용작물,강황(울금),세종,0.0,0.0
2020,특약용작물,강황(울금),울산,0.0,0.0
2020,특약용작물,강황(울금),인천,0.0,0.0
2020,특약용작물,강황(울금),전남,29.0,319.0
